date,company,symbol,polarity_company,subjectivity
2020-01-16,Adani Enterprises Ltd.,ADANIENT,-0.8614118695259094,0.870352566242218
2020-01-20,Adani Enterprises Ltd.,ADANIENT,-0.8509735465049744,0.4235978126525879
2020-02-04,Power Grid Corporation of India Ltd.,POWERGRID,-0.01088973879814148,0.8832608461380005
2020-02-05,Adani Enterprises Ltd.,ADANIENT,0.9296942949295044,0.9490777850151062
2020-02-10,Grasim Industries Ltd.,GRASIM,-0.9683669209480286,0.9769864678382874
2020-02-11,Power Grid Corporation of India Ltd.,POWERGRID,0.011818967759609222,0.9876651763916016
2020-02-11,Adani Enterprises Ltd.,ADANIENT,0.016615308821201324,0.4037506878376007
2020-02-13,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,0.8996036648750305,0.07584710419178009
2020-02-18,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,0.942403256893158,0.048581767827272415
2020-03-05,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,-0.9567990899085999,0.9741129875183105
2020-03-05,Adani Enterprises Ltd.,ADANIENT,0.044961024075746536,0.03020676225423813
2020-03-11,Adani Enterprises Ltd.,ADANIENT,0.8657532334327698,0.47488993406295776
2020-03-16,Grasim Industries Ltd.,GRASIM,-0.2633475661277771,0.9601714611053467
2020-03-27,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,-0.9307566285133362,0.9962165951728821
2020-03-31,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,0.579375684261322,0.9540427923202515
2020-04-01,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,0.11174178123474121,0.9788333773612976
2020-04-01,Grasim Industries Ltd.,GRASIM,0.22058919072151184,0.9616080522537231
2020-04-03,LTIMindtree Ltd.,LTIM,-0.5186925530433655,0.9767077565193176
2020-04-07,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,-0.9610879421234131,0.9404345154762268
2020-04-13,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,-0.9219766855239868,0.7099516987800598
2020-04-16,Bajaj Finserv Ltd.,BAJAJFINSV,-0.9084367752075195,0.9332191348075867
